id,isoCode,nameDe
187,BOD,Tibetisch,null
188,TIR,Tigrinya,null
189,TON,Tongaisch,null
190,CES,Tschechisch,null
191,CHE,Tschetschenisch,null
192,TUR,Türkisch,null
193,TUK,Turkmenisch,null
194,TVI,Tuvaluisch,null
195,TYV,Tuwinisch,null
196,UDM,Udmurtisch,null
197,UIG,Uigrisch,null
198,UKR,Ukrainisch / Ruthenisch,null
199,HUN,Ungarisch,null
200,URD,Urdu,null
201,UZB,Usbekisch,null
202,VEN,Venda / Tshivenda,null
203,VIE,Vietnamesisch,null
204,CYM,Walisisch,null
205,BEL,Weißrussisch / Belarussisch,null
206,WOL,Wolof (Senegal),null
207,WOF,Wolof (Gambia),null
208,XHO,isiXhosa,null
209,TSO,Xitsonga,null
210,ZHA,Zhuang,null
211,ZUL,isiZulu,null

